"geoid10","pop","vap","obama","mccain","TotPop","BlackPop","HispPop","VAP_1","BlackVAP","HispVAP"
NA,915,689,79,91,915,82,81,689,53,58
NA,2674,2340,167,419,2674,57,105,2340,35,88
NA,122,100,7,10,122,0,2,100,0,2
NA,2013,1478,158,280,2013,18,232,1478,10,149
NA,0,0,0,0,0,0,0,0,0,0
NA,11156,8481,1316.08,2286.42,11156,337,823,8481,255,578
NA,7892,6196,1199,2173,7892,105,430,6196,79,287
NA,4282,3492,901,1511,4282,75,248,3492,50,175
NA,3453,2783,820,1204,3453,35,192,2783,25,126
NA,4598,3635,836,989,4598,189,453,3635,138,316
NA,772,644,165.88,255.32,772,63,61,644,53,46
NA,4233,3484,1001,1147,4233,168,334,3484,132,236
NA,555,425,82,234,555,1,31,425,1,21
NA,375,307,70,125,375,20,21,307,10,12
NA,1966,1561,196.27,419.27,1966,25,91,1561,22,58
NA,484,414,77,260,484,2,8,414,2,8
NA,708,544,140.12,215.68,708,39,73,544,32,49
NA,543,408,156.92,194.58,543,33,43,408,23,29
NA,1192,1014,311,334,1192,8,52,1014,8,37
NA,1222,841,105,177,1222,143,225,841,103,138
NA,17428,12418,341,659,17428,1450,5490,12418,995,3640
NA,6035,4514,494,711,6035,630,1572,4514,462,1120
NA,2313,1825,328,468,2313,29,188,1825,21,135
NA,15698,10793,1046,1622,15698,802,2173,10793,538,1405
NA,4477,3637,852.7,1606.77,4477,137,197,3637,103,142
NA,10419,7581,567,676,10419,776,2409,7581,534,1656
NA,6829,5844,832.58,1517.95,6829,271,374,5844,205,287
NA,205,165,30,43,205,0,12,165,0,8
NA,1811,1425,158.66,223.12,1811,23,65,1425,19,41
NA,648,512,99,175,648,15,25,512,9,15
NA,3259,2324,420,502,3259,178,225,2324,125,151
NA,689,493,113,170,689,54,115,493,40,85
NA,2728,2287,610,756,2728,63,177,2287,49,133
NA,0,0,0,0,0,0,0,0,0,0
NA,1040,833,104.73,223.73,1040,81,108,833,63,76
NA,769,654,190,300,769,6,41,654,4,22
NA,1734,1522,434,552,1734,18,76,1522,18,55
NA,6901,5111,1136.79,844.59,6901,761,1810,5111,550,1208
NA,7088,5045,1038,689,7088,1038,2424,5045,676,1601
NA,243,177,32.51,24.33,243,18,63,177,14,49
NA,1025,879,181.96,182.96,1025,41,20,879,33,13
NA,3672,2903,436,740,3672,51,165,2903,41,107
NA,2817,2268,362,457,2817,35,97,2268,25,62
NA,1950,1569,246,417,1950,81,93,1569,59,65
NA,7344,5954,1278,1364,7344,879,223,5954,615,150
NA,1367,1071,240,209,1367,44,95,1071,33,72
NA,2654,2098,362,538,2654,136,169,2098,118,127
NA,3508,2529,464.49,347.67,3508,508,1174,2529,345,788
NA,4559,3482,901,920,4559,334,283,3482,233,202
NA,3271,2693,659,772,3271,111,172,2693,82,133
NA,3022,2647,609,612,3022,148,621,2647,107,467
NA,5517,4263,474,548,5517,493,1442,4263,357,1039
NA,16281,11617,307,359,16281,1859,5409,11617,1258,3612
NA,13,11,10,12,13,0,0,11,0,0
NA,5667,5071,926,954,5667,164,332,5071,128,274
NA,4286,3897,1015,859,4286,73,232,3897,68,181
NA,2624,2131,455.94,521.71,2624,147,78,2131,109,54
NA,0,0,0,0,0,0,0,0,0,0
NA,562,521,109,120,562,4,8,521,3,8
NA,7,7,1,0,7,1,3,7,1,3
NA,3328,2468,482.52,450.03,3328,395,830,2468,271,577
NA,1741,1472,281,472,1741,59,129,1472,48,100
NA,13,12,1.34,1.88,13,0,5,12,0,5
NA,3115,2395,558,506,3115,293,935,2395,209,640
NA,4819,3600,825,724,4819,577,1391,3600,406,928
NA,1726,1340,177.84,220.55,1726,105,254,1340,78,184
NA,5245,3886,863,625,5245,563,1494,3886,383,1024
NA,3105,2522,480,792,3105,28,69,2522,23,52
NA,82,66,29,62,82,0,6,66,0,6
NA,2132,1752,453,960,2132,22,95,1752,18,59
NA,2643,2108,573,1036,2643,42,132,2108,25,85
NA,1474,1271,368,357,1474,33,109,1271,32,84
NA,4608,3802,921,1575,4608,30,186,3802,26,138
NA,1836,1552,480.43,566.28,1836,14,95,1552,14,66
NA,4720,3957,932,928,4720,229,378,3957,181,276
NA,0,0,0,0,0,0,0,0,0,0
NA,2096,1523,318,570,2096,121,202,1523,71,107
NA,3106,2523,734,1088,3106,14,163,2523,9,106
NA,1582,1229,302.77,245.15,1582,138,435,1229,93,305
NA,1137,877,216.05,174.93,1137,130,408,877,98,299
NA,953,866,212,212,953,13,33,866,8,28
NA,2656,2289,440,510,2656,35,162,2289,26,118
NA,5073,4256,777.17,1471.54,5073,69,154,4256,50,118
NA,5166,3923,976,970,5166,402,1328,3923,271,918
NA,5219,3929,765.56,771.83,5219,335,666,3929,216,397
NA,6843,4840,816.75,703.27,6843,857,1869,4840,557,1221
NA,2036,1479,249.58,214.9,2036,219,624,1479,174,417
NA,2753,2255,755,547,2753,244,126,2255,196,86
NA,2345,1956,241.29,239.13,2345,95,179,1956,78,113
NA,5215,4009,989,799,5215,388,1736,4009,281,1232
NA,664,527,119.57,91.61,664,79,284,527,61,228
NA,9946,7337,1547,2151,9946,981,1508,7337,734,1093
NA,3221,2782,813,893,3221,65,168,2782,51,125
NA,25,24,4.69,4.38,25,3,6,24,3,5
NA,4158,3238,796,567,4158,435,1365,3238,311,1006
NA,2016,1511,371,333,2016,141,560,1511,91,368
NA,2668,2087,696.3,766.89,2668,319,145,2087,219,97
NA,1776,1495,392.66,466.23,1776,62,96,1495,39,69
NA,1869,1547,385,353,1869,151,160,1547,107,120
NA,53,31,4.42,8.05,53,12,5,31,5,2
NA,4719,3449,842,352,4719,2205,355,3449,1505,223
NA,2697,2150,366,306,2697,621,159,2150,420,99
NA,3240,2616,605,630,3240,371,159,2616,260,102
NA,15,9,2.68,1.89,15,9,0,9,5,0
NA,3171,2739,802,977,3171,28,98,2739,22,83
NA,3196,3000,991,1251,3196,17,74,3000,17,64
NA,2687,2325,869,899,2687,17,90,2325,17,70
NA,144,119,24.75,28.41,144,6,8,119,6,6
NA,1431,1097,289,386,1431,87,71,1097,68,48
NA,3169,2536,612.3,857.23,3169,430,204,2536,272,135
NA,3766,2989,763,997,3766,516,222,2989,350,150
NA,3265,2478,586,681,3265,112,196,2478,75,135
NA,3454,2638,600,787,3454,182,196,2638,133,134
NA,1968,1597,361,625,1968,102,134,1597,51,85
NA,2302,1904,359.18,456.22,2302,99,172,1904,88,139
NA,2887,2350,812,1103,2887,25,121,2350,23,93
NA,104,103,12.58,12.37,104,0,2,103,0,2
NA,1281,985,212.06,274.83,1281,98,172,985,73,116
NA,4522,3690,908.72,786.64,4522,379,452,3690,284,302
NA,2857,2532,393.41,346.73,2857,549,123,2532,494,91
NA,0,0,0,0,0,0,0,0,0,0
NA,83,62,7.57,7.45,83,0,25,62,0,16
NA,0,0,0,0,0,0,0,0,0,0
NA,307,241,46.96,47.34,307,49,22,241,39,13
NA,71,55,13.54,11.72,71,0,7,55,0,4
NA,807,681,53.93,37.9,807,84,29,681,71,22
NA,586,453,94.51,89,586,11,40,453,7,22
NA,1483,1119,221,28,1483,664,256,1119,486,147
NA,298,239,29.19,28.71,298,7,15,239,6,13
NA,3646,3117,826,632,3646,103,351,3117,77,252
NA,1674,1340,288.48,373.88,1674,42,95,1340,33,66
NA,4407,3255,475,486,4407,207,549,3255,122,340
NA,7304,6152,987,897,7304,250,368,6152,190,261
NA,6653,4957,591.73,986.38,6653,294,362,4957,168,228
NA,58,54,4.28,3.01,58,0,1,54,0,1
NA,3230,2679,882,819,3230,79,99,2679,59,76
NA,4662,3855,246.95,304.67,4662,1030,263,3855,751,204
NA,2771,2505,779,1053,2771,96,107,2505,79,84
NA,6485,5999,518,598,6485,602,975,5999,559,856
NA,4137,3034,504,428,4137,309,1534,3034,197,1047
NA,2144,1732,438,538,2144,90,139,1732,68,93
NA,1957,1599,456.01,317.95,1957,254,35,1599,178,25
NA,10743,8134,893,930,10743,1489,3953,8134,1057,2722
NA,6156,5811,445.48,230.74,6156,679,1242,5811,635,1038
NA,9218,6894,792,653,9218,841,3978,6894,599,2804
NA,5910,4418,366,389,5910,640,2597,4418,480,1810
NA,14779,11522,511,635,14779,2253,4826,11522,1875,3472
NA,5251,3779,801,506,5251,760,3431,3779,514,2434
NA,7456,5384,652,549,7456,917,3792,5384,609,2684
NA,7819,5741,588.45,1010.15,7819,348,1428,5741,258,962
NA,7106,5150,513,617,7106,518,3287,5150,341,2215
NA,19697,13849,1163,638,19697,2680,13338,13849,1821,9283
NA,1216,806,14,26,1216,55,329,806,40,206
NA,2971,2308,763,639,2971,86,125,2308,64,83
NA,2549,2069,614,726,2549,32,78,2069,25,54
NA,7,6,1.1,2.07,7,0,0,6,0,0
NA,2792,2428,676,610,2792,77,117,2428,62,99
NA,2932,2122,557.34,661.77,2932,276,299,2122,171,185
NA,0,0,0,0,0,0,0,0,0,0
NA,346,259,31.63,31.12,346,63,47,259,39,31
NA,843,656,80.11,78.81,843,35,72,656,26,42
NA,1690,1421,173.54,170.72,1690,291,265,1421,214,185
NA,215,188,36.63,36.93,215,9,30,188,5,20
NA,4911,3718,914,1014,4911,270,314,3718,183,206
NA,2677,2147,678,751,2677,241,778,2147,177,592
NA,9592,7375,1216,1073,9592,1252,4307,7375,923,3040
NA,8555,6144,816,1173,8555,759,1922,6144,560,1329
NA,1993,1590,484,353,1993,85,118,1590,52,85
NA,2017,1788,473,331,2017,52,81,1788,36,65
NA,2768,2249,667,593,2768,65,101,2249,49,71
NA,1540,1321,304.8,233.42,1540,74,87,1321,57,69
NA,1656,1262,332,236,1656,159,429,1262,113,303
NA,1038,679,82.92,81.58,1038,474,212,679,267,135
NA,0,0,0,0,0,0,0,0,0,0
NA,9,9,1.94,2.51,9,0,2,9,0,2
NA,21,19,4.09,5.3,21,0,8,19,0,6
NA,208,135,29.06,37.67,208,9,165,135,8,97
NA,813,595,254.64,15.28,813,715,37,595,534,17
NA,2837,2048,676,122,2837,1523,508,2048,1103,291
NA,12284,11478,1045,654,12284,2093,2317,11478,1978,2027
NA,3209,2330,352.99,315.6,3209,389,1444,2330,264,1020
NA,631,469,71.05,63.53,631,50,361,469,33,248
NA,3,3,0,0,3,0,0,3,0,0
NA,2262,1704,321.45,408.3,2262,146,392,1704,99,250
NA,30,21,1,11,30,0,0,21,0,0
NA,5004,3821,1080,694,5004,480,1696,3821,334,1218
NA,17226,12290,1252,1560,17226,1380,4763,12290,994,3208
NA,0,0,0,0,0,0,0,0,0,0
NA,10103,7438,734,739,10103,1324,5304,7438,930,3630
NA,5322,4167,705,662,5322,355,2726,4167,239,1938
NA,680,442,66.96,59.87,680,81,473,442,49,300
NA,10117,7255,1186,467,10117,1493,7108,7255,1053,5008
NA,15668,11691,1024,1022,15668,1741,8752,11691,1318,6138
NA,6131,4750,605,588,6131,548,2050,4750,414,1518
NA,1181,885,200.79,153.84,1181,173,368,885,130,244
NA,814,546,64.35,87.37,814,94,187,546,52,134
