"fips","name","cd_2010","pop","white","black","hisp","vap","wvap","bvap","hvap","tot_08","dem_08","rep_08","region"
"19103","Johnson",2,130882,108767,6163,6200,104964,89676,3996,4207,72975,51027,20732,"Southeast"
"19105","Jones",1,20638,19716,405,270,16012,15316,373,193,10004,5446,4405,"Southeast"
"19107","Keokuk",2,10511,10286,50,90,8069,7930,20,61,5361,2518,2712,"South"
"19109","Kossuth",4,15543,15121,43,215,11988,11777,23,115,9097,4625,4329,"Northeast"
"19111","Lee",2,35862,32833,1094,1092,27901,25897,860,686,17224,9821,7062,"Southeast"
"19113","Linn",1,211226,188592,8160,5534,159379,146120,5085,3347,113355,68037,43626,"Southeast"
"19115","Louisa",2,11387,9309,52,1797,8444,7194,43,1052,4920,2523,2314,"Southeast"
"19117","Lucas",2,8898,8720,15,89,6723,6610,9,57,4471,2029,2330,"South"
"19119","Lyon",4,11581,11267,9,212,8376,8198,5,120,6217,1675,4471,"Northwest"
"19121","Madison",3,15679,15233,45,197,11411,11183,19,109,8480,3733,4579,"South"
"19123","Mahaska",2,22381,21242,251,360,16940,16188,208,228,10932,4464,6271,"South"
"19125","Marion",2,33309,31834,211,531,24947,24075,126,301,17030,7421,9256,"Central"
"19127","Marshall",1,40648,31807,629,7017,30344,25417,421,3762,18657,10023,8278,"Central"
"19129","Mills",3,15059,14390,57,359,11240,10865,40,191,7282,2976,4183,"South"
"19131","Mitchell",1,10776,10564,20,110,8112,7985,13,63,5766,3179,2469,"Northeast"
"19133","Monona",4,9243,8904,33,107,7195,7030,17,54,4796,2295,2411,"Northwest"
"19135","Monroe",2,7970,7677,22,169,6045,5892,9,91,3873,1798,2000,"South"
"19137","Montgomery",3,10740,10265,25,305,8229,7964,15,168,5287,2326,2887,"South"
"19139","Muscatine",2,42745,34518,545,6803,31581,26778,320,3965,19119,10920,7929,"Southeast"
"19141","O'Brien",4,14398,13605,56,545,11005,10566,33,304,7333,2338,4894,"Northwest"
"19143","Osceola",4,6462,5937,15,430,4972,4666,5,249,3127,1037,2027,"Northwest"
"19145","Page",3,15932,14767,344,438,12426,11694,240,253,7356,2900,4351,"South"
"19147","Palo Alto",4,9421,9108,44,152,7353,7158,34,89,4806,2428,2294,"Northwest"
"19149","Plymouth",4,24986,23782,73,742,18502,17880,41,390,12512,4629,7765,"Northwest"
"19151","Pocahontas",4,7310,7043,26,166,5741,5598,17,85,4011,1800,2138,"Northwest"
"19153","Polk",3,430640,347710,25344,32647,320715,269979,16507,19054,214386,120984,89668,"Central"
"19155","Pottawattamie",3,93158,83609,1216,6151,70679,64968,848,3559,42320,20436,21237,"South"
"19157","Poweshiek",1,18914,17705,213,456,14962,14079,154,323,10031,5519,4340,"Central"
"19159","Ringgold",3,5131,4966,17,91,3888,3796,7,47,2689,1236,1401,"South"
"19161","Sac",4,10350,10031,31,195,8025,7853,14,105,5053,2256,2705,"Northwest"
"19163","Scott",2,165224,136884,11413,9197,124658,107690,7467,5382,86371,48927,36365,"Southeast"
"19165","Shelby",4,12167,11763,31,219,9301,9056,19,133,6453,2863,3488,"South"
"19167","Sioux",4,33704,30090,104,3001,24657,22577,52,1742,16664,3030,13490,"Northwest"
"19169","Story",4,89542,77812,2125,2695,73589,64617,1493,1912,46575,26548,18995,"Central"
"19171","Tama",1,17767,14874,59,1320,13227,11599,24,665,8850,4899,3820,"Central"
"19173","Taylor",3,6317,5872,12,364,4841,4575,7,214,3026,1347,1607,"South"
"19175","Union",3,12534,12029,88,225,9598,9316,57,124,5909,3000,2781,"South"
"19177","Van Buren",2,7570,7373,15,88,5748,5635,5,48,3608,1546,1986,"South"
"19179","Wapello",2,35625,31157,447,3234,27506,24847,314,1869,15931,8820,6663,"South"
"19181","Warren",3,46225,44266,213,899,34207,33146,141,492,24880,12299,12144,"Central"
"19183","Washington",2,21704,20114,140,1138,16245,15350,88,637,10626,5170,5247,"Southeast"
"19185","Wayne",2,6403,6244,17,69,4903,4816,7,37,2980,1357,1565,"South"
"19187","Webster",4,38013,34210,1435,1446,29594,27167,1111,858,18554,9917,8337,"Northwest"
"19189","Winnebago",4,10866,10247,78,360,8512,8110,65,218,6082,3254,2730,"Northeast"
"19191","Winneshiek",1,21056,20153,130,418,16759,16139,105,253,11280,6829,4273,"Northeast"
"19193","Woodbury",4,102172,79282,2384,13993,74958,61664,1605,7836,44801,21983,22219,"Northwest"
"19195","Worth",1,7598,7335,21,147,5841,5688,6,88,4257,2567,1612,"Northeast"
"19197","Wright",4,13229,11738,40,1274,10143,9294,15,748,6395,3102,3198,"Northwest"
